Departure_Station,Return_Station,,1
0028 Davie & Beach,0209 Stanley Park - Information Booth,,395
0088 Harwood & Bute,0196 Drake & Hornby,,155
0212 Union & Gore,0066 Anderson & 2nd,,37
0035 Coal Harbour Community Centre,0201 Shaw Tower,,172
0092 Chilco & Barclay,0028 Davie & Beach,,63
0083 Aquatic Centre,0032 Comox & Denman,,88
0078 Nelson & Mainland,0055 Keefer & Columbia,,25
0167 Cordova & Columbia,0602 Olympic Village Station - Parking Lot,,2
0057 Marinaside & Cooperage,0008 8th & Ash,,23
0196 Drake & Hornby,0011 Ontario & Seawall,,20
0112 10th & Oak,0001 10th & Cambie,,309
0024 Hornby & Pender,0101 Stanley Park - Vancouver Aquarium,,53
0036 Bute & Robson,0037 Hornby & Nelson,,132
0105 Stanley Park - Totem Poles,0101 Stanley Park - Vancouver Aquarium,,409
0032 Comox & Denman,0102 Stanley Park - Second Beach North,,118
0187 Bute & Davie,0196 Drake & Hornby,,86
0016 Pender & Burrard,0125 Hamilton & Robson,,50
0153 Arbutus Greenway & Fir,0080 Laurel & Broadway,,7
0187 Bute & Davie,0187 Bute & Davie,,1
0037 Hornby & Nelson,0005 Dunsmuir & Beatty,,125
0105 Stanley Park - Totem Poles,0105 Stanley Park - Totem Poles,,1
0081 7th & Heather,0026 Beatty & Robson,,29
0030 Abbott & Cordova,0078 Nelson & Mainland,,64
0030 Abbott & Cordova,0030 Abbott & Cordova,,1
0125 Hamilton & Robson,0044 Richards & Beach,,8
0008 8th & Ash,0153 Arbutus Greenway & Fir,,8
0150 Alexander & Main,0201 Shaw Tower,,20
0033 Robson & Denman,0033 Robson & Denman,,1
0173 Columbia & 2nd,0004 Yaletown-Roundhouse Station,,17
0212 Union & Gore,0053 Keefer & Abbott,,29
0109 7th & Arbutus,0153 Arbutus Greenway & Fir,,52
0212 Union & Gore,0031 Morton & Denman,,1
0076 Cypress & 4th,0089 Burrard & Drake,,142
0057 Marinaside & Cooperage,0147 Chestnut & McNicoll,,17
0083 Aquatic Centre,0031 Morton & Denman,,101
0054 Expo & Carrall,0150 Alexander & Main,,9
0035 Coal Harbour Community Centre,0028 Davie & Beach,,219
0060 Bidwell & Burnaby,0083 Aquatic Centre,,144
0032 Comox & Denman,0053 Keefer & Abbott,,16
0209 Stanley Park - Information Booth,0033 Robson & Denman,,181
0036 Bute & Robson,0129 Richards & Robson,,69
0055 Keefer & Columbia,0138 Richards & Helmcken,,13
0115 Cypress & 16th,0019 Robson & Hornby,,16
0053 Keefer & Abbott,0078 Nelson & Mainland,,84
0174 1st & Ontario,0053 Keefer & Abbott,,175
0064 Expo & Smithe,0024 Hornby & Pender,,99
0140 Burrard & 7th,0068 Cypress & Broadway,,3
0133 Ontario & 16th,0083 Aquatic Centre,,3
0089 Burrard & Drake,0002 Burrard Station,,50
0089 Burrard & Drake,0089 Burrard & Drake,,1
0063 Robson & Granville,0078 Nelson & Mainland,,17
0198 6th & Main,0053 Keefer & Abbott,,17
0093 Chilco & Robson,0093 Chilco & Robson,,1
0026 Beatty & Robson,0005 Dunsmuir & Beatty,,231
0026 Beatty & Robson,0123 Georgia & Thurlow,,37
0159 Vine & 4th,0089 Burrard & Drake,,21
0026 Beatty & Robson,0026 Beatty & Robson,,1
0016 Pender & Burrard,0014 Canada Place,,16
0041 Cardero & Robson,0150 Alexander & Main,,24
0089 Burrard & Drake,0027 Beatty & Nelson,,13
0050 Bute & Comox,0078 Nelson & Mainland,,17
0037 Hornby & Nelson,0165 Columbia & 4th,,107
0204 York & Yew,0077 Vanier Park,,102
0109 7th & Arbutus,0140 Burrard & 7th,,47
0011 Ontario & Seawall,0004 Yaletown-Roundhouse Station,,149
0206 8th & Scotia,0066 Anderson & 2nd,,9
0032 Comox & Denman,0030 Abbott & Cordova,,25
0109 7th & Arbutus,0165 Columbia & 4th,,34
0206 8th & Scotia,0078 Nelson & Mainland,,80
