Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Lat,Long
2010-10-21,,Eton St/N Renfrew St,,1,,,0,70-79,M,49.28770548,-123.0440671
2010-11-03,,1150 Station St,,1,,,0,80-89,F,49.2735596,-123.0986099
09-139072,,3700 Blk Arbutus St,,,,,1,20-29,M,49.25303763,-123.1530513
09-14860,,W King Edward Av/Arbutus St,,1,,,0,40-49,F,49.25154824,-123.153109
09-151434,,Expo Blvd/Abbott St,,1,,,0,0-10,F,49.27864779,-123.1076207
09-173786,,Trans Canada Hwy/McGill St Off Ramp,,,,,1,30-39,M,,
09-180113,,Denman St/Davie St,,1,,,0,70-79,F,49.28725357,-123.1418096
09-191319,,Nelson St/Denman St,,1,,,0,70-79,M,49.28936538,-123.1386213
09-210508,,300 Block Prior St,,1,,,0,70-79,M,49.27669972,-123.0962071
09-21553,,1500 Blk E Broadway,,1,,,0,80-89,M,49.2623348,-123.0716968
09-217975,,Cambie St/Dunsmuir St,,,,1,0,30-39,M,49.28046912,-123.1115363
09-22698,,W 4th Av/Anderson St,,1,,,0,20-29,F,,
09-22698,,W 4th Av/Anderson St,,1,,,0,30-39,M,,
09-23437,,1588 Rand Av,,1,,,0,70-79,M,49.20506731,-123.1419344
09-23636,,1100 Blk Davie St,,1,,,0,30-39,M,49.28108359,-123.1322781
09-64198,,Granville St/W 49th Av,,,,1,0,20-29,M,49.22696578,-123.1398433
09-85785,,W 70th Av/Heather St,,,,1,0,40-49,M,49.20837856,-123.1241998
09-98997,,Point Grey Rd/Bayswater St,,,,,1,90-99,F,49.27108036,-123.1709708
2/1/2018,17:57:00,E King Edward Ave at Inverness St,Intersection,1,,,0,50-59,M,49.24852516,-123.0800274
2018-03-04,00:54:00,4200 Block W 16th Ave,Close  to Intersection,,,,1,20-29,M,49.2581778,-123.2016887
2018-04-04,21:15:00,E 12th Ave / Clark Dr,Intersection,1,,,0,20-29,F,49.2596221,-123.0775552
2018-04-09,15:00:00,W King Edward Av/Crown St,Intersection,,,,1,0-10,M,49.25009298,-123.1936092
